一出	一齣
艾里西	艾里西
艾里西湖	艾里西湖
艾里西湖镇	艾里西湖鎮
节日里	節日裏
读书三余	讀書三餘
谷城	穀城
谷城县	穀城縣
谷里	谷里
谷里街道	谷里街道
谷阳	穀陽
谷阳县	穀陽縣
谷阳竖	穀陽豎
谷阳街道	谷陽街道
谷阳郡	穀陽郡
谷阳镇	穀陽鎮
资溪	資谿
辰溪	辰谿
返佣	返佣
通车里程	通車里程
道咸	道咸
里甲	里甲
钟离	鍾離
长干里	長干里
鼠标里面	鼠標裏面
串口	序列埠
信息安全	資訊安全
呼叫轉移	來電轉接
命名空間	命名空間
圖像	影像
外鍵	外部索引鍵
字符集	字元集
激光	雷射
筆記本電腦	筆記型電腦
集群	叢集
所羅門羣島	索羅門群島
字節跳動	字節跳動
摩爾線程	摩爾線程
方便麪	泡麵
觀唸	觀念
烏託邦	烏托邦
今週刊	今周刊
麵皮	面皮
麵色	面色
麵板	面板
麵具	面具
幹擾	干擾
車鬥	車斗
試捲	試卷
閱捲	閱卷
錶演	表演
報名錶	報名表
遊擊戰	游擊戰
遊擊	游擊
麼蛾子	么蛾子
開夥	開伙
建築繫	建築系
棄暗投明瞭	棄暗投明了
濃鬱	濃郁
關註	關注
鬥轉星移	斗轉星移
無精打採	無精打采
適閤	適合
日進鬥金	日進斗金
公文包	公事包
幹預	干預
註明瞭	註明了
迴過神	回過神
補償程式	補償程序
證明瞭	證明了
說明瞭	說明了
演演算法	演算法
戀愛程式	戀愛程序
鄰裡間	鄰里間
無釐頭	無厘頭
懷唸	懷念
陸遊	陸游
劃槳	划槳
髮酵	發酵
龍後	龍后
后撤	後撤
裡麵	裡面
后頭	後頭
后面	後面
體繫	體系
巴釐島	峇厘島
萬裡無雲	萬里無雲
遊來游去	游來游去
氣若遊絲	氣若游絲
紀唸	紀念
釋出會	發表會
發表宣告	發表聲明
好訊息	好消息
巖漿球	岩漿球
隻有	只有
煙鬥	煙斗
方便麵	泡麵
鬥膽	斗膽
製止	制止
報匯	報導
申明	聲明
隻能	只能
隻是	只是
澀穀	澀谷
錶情	表情
錶面	表面
麵對	面對
錶示	表示
錶決	表決
計程車氣	士氣
計程車兵	士兵
計程車人	士人
計程車官	士官
計程車卒	士卒
計程車子	士子
計程車紳	士紳
紳計程車	紳士
計程車大夫	士大夫
計程車民	士民
钎	籤
釺	籤
熘	溜
戏	戲
太後	太后
cao控	操控
cha曲	插曲
色mimi	色迷迷
強bi	強逼
sao動	騷動
tiao戲	調戲
jian	賤
烏幹達	烏干達
貝裡沙	貝里沙
賬本	帳本
伱	你
奇Yin巧技	奇淫巧技
襯託	襯托
髮現	發現
母後	母后
皇後	皇后
萬裡江山	萬里江山
聽瞭	聽了
出戏	出戲
那出戲	那齣戲
這出戏	這齣戲
擺明瞭	擺明了
髒瞭	髒了
麼兒	么兒
鄰裡	鄰里
幹係	干係
畫捲	畫卷
劃不來	划不來
脫瞭	脫了
單於	單于
裡麵包	裡面包
喫醋	吃醋
神祕	神秘
纔是	才是
牀邊	床邊
起牀	起床
牀頭	床頭
頂峯	頂峰
喫個飯	吃個飯
喫了	吃了
纔看見	才看見
剛纔	剛才
考覈	考核
合羣	合群
隨便喫	隨便吃
一起喫	一起吃
害羣之馬	害群之馬
起牀氣	起床氣
沒喫	沒吃
纔去	才去
牀上	床上
好喫	好吃
想喫	想吃
喫飽	吃飽
這纔	這才
這羣人	這群人
喫力	吃力
連喫帶拿	連吃帶拿
喫虧	吃虧
喫飯	吃飯
喫不下	吃不下
病牀	病床
巔峯	巔峰
愛喫	愛吃
纔能夠	才能夠
喫痛	吃痛
喫著	吃著
喫瓜	吃瓜
喫驚	吃驚
牀	床
託盤	托盤
徵戰	征戰
糉子	粽子
覈查	核查
幹淨	乾淨
幹疼	乾疼
幹蘿蔔	乾蘿蔔
說幹	說乾
吃幹抹淨	吃乾抹淨
衆	眾
麽	麼
后	後
信息	資訊
纔	才
喫	吃
衆	眾
麽	麼
后	後
指令碼	腳本
説	說
脱	脫
幹戈	干戈
幹謁	干謁
未幹	未乾
云雲	云云
雲雲	云云
所雲	所云
故雲	故云
》雲	》云
雲：	云：
雲『	云『
雲‘	云‘
雲“	云“
雲「	云「
沖入	衝入
系其	係其
田里的	田裏的
徵戍	征戍
時曆	時歷
外文繫	外文系
》捲	》卷
嶽飛	岳飛
國文繫	國文系
并沒	並沒
併不	並不
并不	並不
髮源	發源
心頭髮毛	心頭發毛
心裏髮毛	心裏發毛
髮得	發得
幹處	乾處
徵夫	征夫
髮膩	發膩
石麪上	石面上
輕易髮	輕易發
個切麪	個切面
裏麪	裏面
又雲	又云
直接髮	直接發
徵服	征服
髮揮	發揮
使幹	使乾
幹枯	乾枯
瀝幹	瀝乾
之余	之餘
淚幹	淚乾
抹幹	抹乾
余皆	餘皆
口幹	口乾
幹瘦	乾瘦
欄幹	欄干
闌幹	闌干
余幹	餘干
餘幹	餘干
幹祿	干祿
幹脆	乾脆
氣幹牛斗	氣干牛斗
徵衣	征衣
徵鴻	征鴻
徵塵	征塵
出徵	出征
徵轡	征轡
徵人	征人
徵帆	征帆
徵鞍	征鞍
髮亮	發亮
髮熱	發熱
髮出	發出
不隻	不只
鬥掛	斗掛
鬥垂天	斗垂天
生活麪	生活面
水麪	水面
粉麪	粉面
郁鬱	鬱鬱
麪貌	面貌
隻數	只數
麪目	面目
雨幹	雨乾
垂幹	垂乾
髓幹	髓乾
杯幹	杯乾
非幹	非干
几時	幾時
几時幹	几時乾
曆代	歷代
曆來	歷來
曆史	歷史
曆經	歷經
曆歷	歷歷
本繫	本係
中文繫	中文系
曆年	歷年
已曆	已歷
曆劫	歷劫
輕松	輕鬆
被髮配	被發配
散髮的	散發的
髮放	發放
曆程	歷程
髮生了	發生了
，併	，並
年髮生	年發生
散髮在	散發在
倖福	幸福
繫列	系列
髮展	發展
哀築	哀筑
年髮展	年發展
這種髮	這種發
一種髮	一種發
那種髮	那種發
髮掘	發掘
散髮到	散發到
以散髮	以散發
語文繫	語文系
散髮着	散發着
係列	系列
髮兵	發兵
疑繫	疑係
蕓蕓	芸芸
闇示	暗示
后身	後身
馬閒	馬閑
當系	當係
，系	，係
一裏	一里
二裏	二里
三裏	三里
四裏	四里
五裏	五里
六裏	六里
八裏	八里
九裏	九里
十裏	十里
曆時	歷時
，曆	，歷
日子里	日子裏
院子里	院子裏
集子里	集子裏
鏡子里	鏡子裏
屋子里	屋子裏
肚子里	肚子裏
后期	後期
后主	後主
后路	後路
防閒	防閑
閒邪	閑邪
閒先聖之道	閑先聖之道
白麪書生	白面書生
爲	為
